"Annual Rate of Population Increase by Sex, Province or County,"
"statistical indicator and Census Year"

" "," ","Population (Number)",440198,321684,271478,248458,242005,214712,192549,182224,169366,168198,165201,160204,155553,149887,148340,149223,167838,172018,178552,180364,188854,209077,231670,250653
" "," ","Population Change since previous Census (Number)",..,-118514,-50206,-23020,-6453,-27293,-22163,-10325,-12858,-1168,-2997,-4997,-4651,-5666,-1547,883,18615,4180,6534,1812,8490,20223,22593,18983
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-30.9,-16.8,-8.8,-2.6,-11.9,-10.8,-5.5,-4.9,-0.7,-1.8,-6.1,-5.9,-7.4,-2.1,1.2,14.8,12.4,7.5,2.0,9.2,17.1,26.0,15.9
" ","Leitrim"
" "," ","Population (Number)",155297,111897,104744,95562,90372,78618,69343,63582,55907,50908,44591,41209,37056,33470,30572,28360,27844,27609,27035,25301,25057,25799,28950,31798
" "," ","Population Change since previous Census (Number)",..,-43400,-7153,-9182,-5190,-11754,-9275,-5761,-7675,-4999,-6317,-3382,-4153,-3586,-2898,-2212,-516,-235,-574,-1734,-244,742,3151,2848
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.2,-6.6,-9.1,-5.6,-13.8,-12.5,-8.6,-8.5,-9.3,-13.2,-15.7,-21.0,-20.2,-17.9,-14.9,-2.3,-4.2,-4.2,-13.2,-1.9,4.9,29.2,18.9
" ","Mayo"
" "," ","Population (Number)",388887,274499,254796,246030,245212,219034,199166,192177,172690,161349,148120,141867,133052,123330,115547,109525,114019,114766,115184,110713,111524,117446,123839,130638
" "," ","Population Change since previous Census (Number)",..,-114388,-19703,-8766,-818,-26178,-19868,-6989,-19487,-11341,-13229,-6253,-8815,-9722,-7783,-6022,4494,747,418,-4471,811,5922,6393,6799
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-34.2,-7.4,-3.5,-0.3,-11.2,-9.5,-3.6,-7.1,-6.8,-8.5,-8.6,-12.7,-15.1,-13.0,-10.6,5.0,3.3,0.7,-7.9,1.5,8.7,13.3,10.7
" ","Roscommon"
" "," ","Population (Number)",253591,173436,157272,140670,132490,114397,101791,93956,83556,77566,72510,68102,63710,59217,56228,53519,54189,54543,54592,51897,51975,53774,58768,64065
" "," ","Population Change since previous Census (Number)",..,-80155,-16164,-16602,-8180,-18093,-12606,-7835,-10400,-5990,-5056,-4408,-4392,-4493,-2989,-2709,670,354,49,-2695,78,1799,4994,5297
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-37.3,-9.7,-11.1,-6.0,-14.6,-11.6,-8.0,-7.8,-7.4,-6.7,-12.5,-13.2,-14.5,-10.3,-9.8,1.6,3.3,0.2,-10.1,0.3,5.7,22.5,17.4
" ","Sligo"
" "," ","Population (Number)",180886,128515,124845,115493,111578,98013,84083,79045,71388,67447,62375,60513,56850,53561,51263,50275,54610,55474,56046,54756,55821,58200,60894,65393
" "," ","Population Change since previous Census (Number)",..,-52371,-3670,-9352,-3915,-13565,-13930,-5038,-7657,-3941,-5072,-1862,-3663,-3289,-2298,-988,4335,864,572,-1290,1065,2379,2694,4499
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.6,-2.9,-7.8,-3.4,-12.9,-15.2,-6.2,-6.8,-5.7,-7.8,-6.0,-12.4,-11.8,-8.7,-3.9,10.4,7.9,2.1,-4.6,3.9,7.0,11.4,14.4
" ","Ulster (part of)"
" "," ","Population (Number)",740048,571052,517783,474038,438259,383758,345874,331165,300091,280269,263887,253252,235863,217524,208303,207204,226037,230159,236008,232206,234251,246714,267264,294803
" "," ","Population Change since previous Census (Number)",..,-168996,-53269,-43745,-35779,-54501,-37884,-14709,-31074,-19822,-16382,-10635,-17389,-18339,-9221,-1099,18833,4122,5849,-3802,2045,12463,20550,27539
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.6,-9.7,-8.8,-7.8,-13.2,-10.3,-4.3,-6.5,-6.8,-6.0,-8.2,-14.1,-16.1,-8.6,-1.1,10.9,9.1,5.0,-3.2,1.8,8.7,20.2,19.8
" ","Cavan"
" "," ","Population (Number)",243158,174071,153906,140735,129476,111917,97541,91173,82452,76670,70355,66377,61740,56594,54022,52618,53720,53855,53965,52796,52944,56546,64003,73183
" "," ","Population Change since previous Census (Number)",..,-69087,-20165,-13171,-11259,-17559,-14376,-6368,-8721,-5782,-6315,-3978,-4637,-5146,-2572,-1404,1102,135,110,-1169,148,3602,7457,9180
