"Annual Rate of Population Increase by Sex, Province or County,"
"statistical indicator and Census Year"

" "," ","Population (Number)",433567,331159,275181,261014,249563,218444,202314,194588,182555,176337,172558,170419,168711,165735,169693,176097,196972,200077,206265,205827,211333,225512,240481,261562
" "," ","Population Change since previous Census (Number)",..,-102408,-55978,-14167,-11451,-31119,-16130,-7726,-12033,-6218,-3779,-2139,-1708,-2976,3958,6404,20875,3105,6188,-438,5506,14179,14969,21081
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.6,-18.3,-5.3,-4.5,-13.2,-7.6,-3.9,-4.2,-3.5,-2.2,-2.5,-2.0,-3.6,4.7,7.4,14.1,7.9,6.1,-0.4,5.3,10.9,16.2,16.9
" ","Kerry"
" "," ","Population (Number)",146573,121743,101801,98673,99831,88119,81299,78217,72308,66331,63780,60137,58107,55620,54111,54368,58171,59278,60866,59962,62329,65955,69194,72873
" "," ","Population Change since previous Census (Number)",..,-24830,-19942,-3128,1158,-11712,-6820,-3082,-5909,-5977,-2551,-3643,-2030,-2487,-1509,257,3803,1107,1588,-904,2367,3626,3239,3679
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-18.4,-17.7,-3.1,1.2,-12.4,-8.0,-3.9,-5.2,-8.6,-3.9,-11.7,-6.8,-8.7,-5.5,0.9,8.5,9.5,5.3,-3.0,7.8,9.5,12.1,10.4
" ","Limerick"
" "," ","Population (Number)",168032,134745,111565,98824,92321,80305,73642,70840,69171,68746,70520,69548,68259,66166,68222,69673,78105,80066,81883,80862,82496,87673,91375,95994
" "," ","Population Change since previous Census (Number)",..,-33287,-23180,-12741,-6503,-12016,-6663,-2802,-1669,-425,1774,-972,-1289,-2093,2056,1451,8432,1961,1817,-1021,1634,5177,3702,4619
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-21.8,-18.7,-12.1,-6.8,-13.8,-8.6,-3.9,-1.6,-0.6,2.6,-2.8,-3.7,-6.2,6.1,4.2,14.4,12.5,4.5,-2.5,4.0,10.2,10.4,9.9
" ","Tipperary"
" "," ","Population (Number)",218903,171543,126623,110214,100857,86381,78833,73849,68111,65438,65015,63447,62017,59681,59396,60042,64864,65758,66891,65350,65933,69268,73426,79170
" "," ","Population Change since previous Census (Number)",..,-47360,-44920,-16409,-9357,-14476,-7548,-4984,-5738,-2673,-423,-1568,-1430,-2336,-285,646,4822,894,1133,-1541,583,3335,4158,5744
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.1,-29.9,-13.8,-8.8,-15.4,-9.1,-6.5,-5.4,-4.0,-0.6,-4.9,-4.5,-7.6,-1.0,2.2,9.7,6.9,3.4,-4.7,1.8,8.3,14.7,15.2
" ","North Tipperary"
" "," ","Population (Number)",100603,76115,55253,47212,43558,38048,33302,30540,28625,28145,27738,27020,26469,25608,25779,26147,28358,28737,29175,28499,28731,30146,32455,34982
" "," ","Population Change since previous Census (Number)",..,-24488,-20862,-8041,-3654,-5510,-4746,-2762,-1915,-480,-407,-718,-551,-861,171,368,2211,379,438,-676,232,1415,2309,2527
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-27.5,-31.5,-15.6,-8.0,-13.4,-13.2,-8.6,-4.3,-1.7,-1.5,-5.2,-4.1,-6.6,1.3,2.8,10.2,6.7,3.0,-4.7,1.6,8.0,18.6,15.1
" ","South Tipperary"
" "," ","Population (Number)",118300,95428,71370,63002,57299,48333,45531,43309,39486,37293,37277,36427,35548,34073,33617,33895,36506,37021,37716,36851,37202,39122,40971,44188
" "," ","Population Change since previous Census (Number)",..,-22872,-24058,-8368,-5703,-8966,-2802,-2222,-3823,-2193,-16,-850,-879,-1475,-456,278,2611,515,695,-865,351,1920,1849,3217
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-21.3,-28.6,-12.4,-9.4,-16.9,-6.0,-5.0,-6.1,-5.7,0.0,-4.6,-4.9,-8.4,-2.7,1.6,9.3,7.0,3.7,-4.6,1.9,8.4,11.6,15.2
" ","Waterford"
" "," ","Population (Number)",100611,85080,69942,64232,58150,50197,44182,41516,39136,38086,38021,37098,37054,35911,36614,38545,43322,44078,45533,45886,47378,50874,54029,57331
" "," ","Population Change since previous Census (Number)",..,-15531,-15138,-5710,-6082,-7953,-6015,-2666,-2380,-1050,-65,-923,-44,-1143,703,1931,4777,756,1455,353,1492,3496,3155,3302
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-16.6,-19.4,-8.5,-9.9,-14.6,-12.7,-6.2,-3.9,-2.7,-0.2,-4.9,-0.2,-6.2,3.9,10.3,14.7,8.7,6.5,1.5,6.4,11.9,15.2,11.9
" ","Connacht"
" "," ","Population (Number)",711017,514229,459100,427485,414636,362608,323265,298895,268454,249069,235003,222940,211663,199482,191853,187208,202324,205558,211315,208900,214844,231102,249671,271437
" "," ","Population Change since previous Census (Number)",..,-196788,-55129,-31615,-12849,-52028,-39343,-24370,-30441,-19385,-14066,-12063,-11277,-12181,-7629,-4645,15116,3234,5757,-2415,5944,16258,18569,21766
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-31.9,-11.3,-7.1,-3.0,-13.3,-11.4,-7.8,-7.1,-7.5,-5.8,-10.5,-10.3,-11.8,-7.8,-4.9,9.8,8.0,5.5,-2.3,5.6,12.2,19.5,16.9
" ","Galway"
" "," ","Population (Number)",220634,164549,137421,125962,121396,106429,94626,87821,80885,79028,77766,75063,73330,70894,70644,71381,81310,83688,87927,89359,94325,104710,115194,125895
" "," ","Population Change since previous Census (Number)",..,-56085,-27128,-11459,-4566,-14967,-11803,-6805,-6936,-1857,-1262,-2703,-1733,-2436,-250,737,9929,2378,4239,1432,4966,10385,10484,10701
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-28.9,-17.9,-8.7,-3.7,-13.1,-11.7,-7.4,-5.5,-2.3,-1.6,-7.1,-4.7,-6.7,-0.7,2.1,16.4,14.5,9.9,3.2,10.9,17.6,24.1,17.9
" ","Leitrim"
" "," ","Population (Number)",77796,55786,52182,47838,45182,38903,34245,30823,26660,23571,20526,18835,17070,15439,14128,13091,12966,12910,12830,12098,12013,12475,14047,15654
" "," ","Population Change since previous Census (Number)",..,-22010,-3604,-4344,-2656,-6279,-4658,-3422,-4163,-3089,-3045,-1691,-1765,-1631,-1311,-1037,-125,-56,-80,-732,-85,462,1572,1607
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.7,-6.7,-8.7,-5.7,-14.9,-12.7,-10.5,-9.6,-12.2,-13.7,-17.0,-19.5,-19.9,-17.6,-15.1,-1.2,-2.2,-1.2,-11.7,-1.4,6.3,30.1,21.9
" ","Mayo"
" "," ","Population (Number)",194689,141235,129160,125153,125791,111536,101602,95832,85912,78136,73047,68522,64173,59486,55718,53123,55530,55779,56455,54732,55153,58297,61203,65218
" "," ","Population Change since previous Census (Number)",..,-53454,-12075,-4007,638,-14255,-9934,-5770,-9920,-7776,-5089,-4525,-4349,-4687,-3768,-2595,2407,249,676,-1723,421,3144,2906,4015
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-31.6,-8.9,-3.1,0.5,-12.0,-9.3,-5.8,-7.3,-9.4,-6.7,-12.7,-13.0,-15.1,-13.0,-9.5,5.6,2.2,2.4,-6.2,1.5,9.3,12.2,12.8
" ","Roscommon"
" "," ","Population (Number)",126575,87025,77431,70023,65833,56397,50558,45434,40275,36258,33665,31476,29632,27740,26446,25225,25714,25890,26241,25203,25280,26191,28590,31712
" "," ","Population Change since previous Census (Number)",..,-39550,-9594,-7408,-4190,-9436,-5839,-5124,-5159,-4017,-2593,-2189,-1844,-1892,-1294,-1221,489,176,351,-1038,77,911,2399,3122
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-36.8,-11.6,-10.0,-6.2,-15.4,-10.9,-10.6,-8.0,-10.5,-7.4,-13.4,-12.0,-13.1,-9.5,-9.4,2.4,3.4,2.7,-8.0,0.6,5.9,22.2,20.9
" ","Sligo"
" "," ","Population (Number)",91323,65634,62906,58509,56434,49343,42234,38985,34722,32076,29999,29044,27458,25923,24917,24388,26804,27291,27862,27508,28073,29429,30637,32958
" "," ","Population Change since previous Census (Number)",..,-25689,-2728,-4397,-2075,-7091,-7109,-3249,-4263,-2646,-2077,-955,-1586,-1535,-1006,-529,2416,487,571,-354,565,1356,1208,2321
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.5,-4.2,-7.2,-3.6,-13.3,-15.4,-8.0,-7.7,-7.9,-6.7,-6.4,-11.2,-11.4,-7.9,-4.3,11.9,9.0,4.1,-2.6,4.1,7.9,10.1,14.7
" ","Ulster (part of)"
" "," ","Population (Number)",375342,290892,262463,241518,222874,192781,172235,162842,145183,132905,125484,119983,112728,104158,99984,99869,108861,111180,114856,113863,115292,121877,131796,146826
" "," ","Population Change since previous Census (Number)",..,-84450,-28429,-20945,-18644,-30093,-20546,-9393,-17659,-12278,-7421,-5501,-7255,-8570,-4174,-115,8992,2319,3676,-993,1429,6585,9919,15030
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.2,-10.2,-8.3,-8.0,-14.4,-11.2,-5.6,-7.6,-8.8,-5.7,-8.9,-12.4,-15.7,-8.1,-0.2,10.8,10.6,6.5,-1.7,2.5,9.3,19.8,21.8
" ","Cavan"
" "," ","Population (Number)",122344,87461,76403,70256,64839,55145,47454,43430,38902,35224,32234,30190,28563,26317,25219,24799,25418,25517,25763,25482,25663,27531,31088,36170
" "," ","Population Change since previous Census (Number)",..,-34883,-11058,-6147,-5417,-9694,-7691,-4024,-4528,-3678,-2990,-2044,-1627,-2246,-1098,-420,619,99,246,-281,181,1868,3557,5082
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.0,-13.4,-8.4,-8.0,-16.1,-14.9,-8.8,-7.3,-9.9,-8.8,-13.0,-11.0,-16.2,-8.5,-3.4,3.1,1.9,1.9,-2.2,1.4,11.8,30.8,30.7
" ","Donegal"
" "," ","Population (Number)",150627,130435,121520,112254,105364,94157,87278,83910,74408,68386,66048,63566,59395,55341,52943,52920,59312,61150,63758,63300,64474,68559,73294,80614
" "," ","Population Change since previous Census (Number)",..,-20192,-8915,-9266,-6890,-11207,-6879,-3368,-9502,-6022,-2338,-2482,-4171,-4054,-2398,-23,6392,1838,2608,-458,1174,4085,4735,7320
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-14.3,-7.1,-7.9,-6.3,-11.2,-7.6,-3.9,-8.0,-8.4,-3.5,-7.6,-13.5,-14.0,-8.8,-0.1,14.4,15.4,8.4,-1.4,3.7,10.3,16.8,19.2
" ","Monaghan"
" "," ","Population (Number)",102371,72996,64540,59008,52671,43479,37503,35502,31873,29295,27202,26227,24770,22500,21822,22150,24131,24513,25335,25081,25155,25787,27414,30042
" "," ","Population Change since previous Census (Number)",..,-29375,-8456,-5532,-6337,-9192,-5976,-2001,-3629,-2578,-2093,-975,-1457,-2270,-678,328,1981,382,822,-254,74,632,1627,2628
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.3,-12.2,-8.9,-11.3,-19.0,-14.7,-5.5,-7.2,-8.4,-7.4,-7.3,-11.4,-19.0,-6.1,3.0,10.8,7.9,6.6,-2.0,0.6,4.1,15.4,18.5

