"Marriages Registered (Number) by Form of Ceremony, Bride and Groom, Age"
"Group and Year"

" "," "," ","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
" "," ","All ages",..,0,..,..,..,..,..,..,..,..,..,..,895,1264,1437
"The Spiritualist Union of Ireland"
" ","Groom"
" "," ","Under 20 years",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
" "," ","20 - 24 years",..,0,..,..,..,..,..,..,..,..,..,..,6,6,9
" "," ","25 - 29 years",..,0,..,..,..,..,..,..,..,..,..,..,138,114,126
" "," ","30 - 34 years",..,0,..,..,..,..,..,..,..,..,..,..,278,311,334
" "," ","35 - 39 years",..,0,..,..,..,..,..,..,..,..,..,..,175,198,241
" "," ","40 - 44 years",..,0,..,..,..,..,..,..,..,..,..,..,96,85,101
" "," ","45 - 49 years",..,0,..,..,..,..,..,..,..,..,..,..,54,49,67
" "," ","50 - 54 years",..,0,..,..,..,..,..,..,..,..,..,..,40,33,40
" "," ","55 - 59 years",..,0,..,..,..,..,..,..,..,..,..,..,14,12,34
" "," ","60 years and over",..,0,..,..,..,..,..,..,..,..,..,..,18,14,13
" "," ","Age not stated",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
" "," ","All ages",..,0,..,..,..,..,..,..,..,..,..,..,819,822,965
" ","Bride"
" "," ","Under 20 years",..,0,..,..,..,..,..,..,..,..,..,..,0,0,1
" "," ","20 - 24 years",..,0,..,..,..,..,..,..,..,..,..,..,10,21,15
" "," ","25 - 29 years",..,0,..,..,..,..,..,..,..,..,..,..,167,181,189
" "," ","30 - 34 years",..,0,..,..,..,..,..,..,..,..,..,..,336,331,381
" "," ","35 - 39 years",..,0,..,..,..,..,..,..,..,..,..,..,147,159,192
" "," ","40 - 44 years",..,0,..,..,..,..,..,..,..,..,..,..,72,63,102
" "," ","45 - 49 years",..,0,..,..,..,..,..,..,..,..,..,..,49,35,34
" "," ","50 - 54 years",..,0,..,..,..,..,..,..,..,..,..,..,25,16,37
" "," ","55 - 59 years",..,0,..,..,..,..,..,..,..,..,..,..,9,11,7
" "," ","60 years and over",..,0,..,..,..,..,..,..,..,..,..,..,4,5,7
" "," ","Age not stated",..,0,..,..,..,..,..,..,..,..,..,..,0,0,0
" "," ","All ages",..,0,..,..,..,..,..,..,..,..,..,..,819,822,965

"There is at present no provision for the civil registration of Muslim "
"marriage ceremonies solemnised in the State  "
" "
"(http://www.cso.ie/en/methods/birthsdeathsandmarriages/marriagesregis-"
"tration/)  See Background Notes "

